uuid,name,location,timestamp_sent,timestamp_completed
6c54c5f3-78bf-4d31-a06f-6d0f68e9f042,Seed Beads,Cabinet 3,1695956194.842946,1696281457.775988
,,Fabric,1696106783.537074,1696279071.421318
,,Pegboard 1,1696106820.441048,1696279043.672329
0bfef756-b8fc-48eb-a688-0f64db2d46fd,Sewing Machine Screw Drivers,Pegboard 1,1696300261.608438,1696614972.130854
,,Cabinet 3,1696460698.281946,1696614250.010368
,,Spraypaint,1696461108.810528,1697763497.52571
,,Fabric,1696877313.983467,1697763502.260204
53fa5efd-fd71-41ea-9cfd-588ff1fcadd9,Cross stitch books,Fabric,1697080597.089225,1697763876.858576
,,Fabric,1697083472.695793,1697821182.853533
ba1659ce-c279-4031-bc70-f75b4498e9f1,Felt Sheets,Fabric,1697251803.57785,1698086570.871673
14868e71-9eec-4aab-ac73-9ae700dfbde2,Plastic Clips,Pegboard 1,1697263986.519822,1697821422.771044
,,Fabric,1697480760.790917,1697821177.486531
afde04e1-4135-496c-903e-dd5a2d4a1334,Tacky Glue,Cabinet 5,1697495703.074561,1697763525.199996
36e61fbd-e3bb-416f-bb19-a7158d99f83d,Safety Pins,Cabinet 3,1697668218.928047,1697821244.185938
,,Cabinet 4,1697759339.955657,1697763533.195433
c1ec3785-c59d-444e-9d20-bb3c295c5285,Laser Cutter Replacement Parts,Laser3D,1697759645.116538,1697821430.140735
afde04e1-4135-496c-903e-dd5a2d4a1334,Tacky Glue,Cabinet 5,1697760489.232125,1697763539.794803
0c2560e0-19a9-4e0c-a535-83f64667af68,Thread Cutters,Pegboard 1,1697762505.542257,1697763544.230685
d73be226-2872-4449-9d4d-93eed9a427fd,Spool Pins,Pegboard 1,1698011710.678571,1698086746.012018
1f69a450-c18f-41a6-92c9-0f4b56fb09e5,Ear Plugs,Cage/Crypt/Other,1698450441.710774,1698450717.140155
,,Cabinet 11,1698783410.319078,1699309847.11886
a2615d91-1200-4709-a738-99bd4970f1c6,Tiny Thread,Pegboard 1,1699306049.441575,1699310228.387711
9efbdf77-b302-44fc-9911-9b46c09305d5,Nuts and Bolts,Cabinet 9,1699400533.066211,1701107910.44892
,,Cabinet 7,1699750188.949257,1701108516.125896
,,Electronics,1699931150.945264,1701108568.898697
0d3b5b30-caa4-4f00-ab19-b4c7e49de78e,Assorted Metal Jewelry Chain,Cabinet 3,1700179611.33976,1702590156.843258
,,Cabinet 3,1700179648.308631,1702590161.10592
,,Cabinet 3,1700425554.70996,1702590153.51161
,,Cabinet 11,1700614638.65969,1701108869.706883
0d3b5b30-caa4-4f00-ab19-b4c7e49de78e,Assorted Metal Jewelry Chain,Cabinet 3,1700812962.056758,1702590149.3969
,,Cabinet 7,1701124867.827547,1701797035.951637
,,Cabinet 7,1701302983.87066,1701797104.809003
12d12f6e-ed9a-4cc2-bd72-693332007e03,Wooden Buttons,Pegboard 1,1701304474.815267,1701797447.817904
,,Fabric,1701482923.686394,1701797306.214889
,,Pegboard 1,1701724001.902764,1701797219.091963
afde04e1-4135-496c-903e-dd5a2d4a1334,Tacky Glue,Cabinet 5,1701733373.299715,1701797311.714772
,,Cabinet 7,1701815977.39271,1701991279.621983
3527a1365517480c944ac6cd47a39a34,"Blue Masking Tape (2"")",Cabinet 5,1701815996.403307,1702337052.016029
afde04e1-4135-496c-903e-dd5a2d4a1334,Tacky Glue,Cabinet 5,1701880722.100118,1702337000.835736
,,Cabinet 4,1702603037.894423,1704749712.954026
,,LFP,1705691530.169262,1705691544.085538
ed208466-304b-4e03-9658-ad1c4edff861,Red Cardstock,Cabinet 7,1705709440.282407,1706749398.175212
,,Fabric,1705979735.719344,1706749359.821068
4dcad653-4e8b-491c-9142-e2f3aa0cda3a,Mixed Beads,Cabinet 3,1705982472.752256,1706749295.865346
36e61fbd-e3bb-416f-bb19-a7158d99f83d,Safety Pins,Cabinet 3,1705986027.362487,1706749517.099488
4dcad653-4e8b-491c-9142-e2f3aa0cda3a,Mixed Beads,Cabinet 3,1706145099.011038,1706749301.266387
,,Fabric,1706491421.299496,1706749459.144135
3923b5db-d92c-4502-a9f1-babd14c65684,Ziploc Plastic Bags (Gallon),Cabinet 2,1706742877.958148,1706749406.1878
